subject_id;trial;anecdote_positivity;anecdote_vividness;cue_positivity;number_of_cues;response2;trial_ranking_set;response;trial_anecdote;ranking_at_num_cues
501;1;0;1;0;2;bottom 5;[6, 8, 7, 5, 8, 6, 10, 4, 9, 4];ivmesini kaybetti ve seyircilerin yüzünde hayal kirikliği vardi; geçen hafta kötü bir performans sergiledi. Yarışın başında beklenenden yavaş hareket etti, hız kazanamadı. Pistte ilerlerken adımları dengesizleşti, ivme kaybetti. En sona doğru bacakları tükenmiş gibiydi. Seyircilerin hayal kırıklığı yüzlerinden okunuyordu.;8
501;2;1;0;0;1;bottom 5;[5, 9, 7, 8, 4, 6, 6, 9, 5, 9];piste uyum sağladi ve izleyicileri etkiledi; geçen hafta yarışta harika bir performans sergiledi. Yarış boyunca kendini iyi gösterdi. Koşu boyunca piste çok iyi bir uyum sağladı. Güçlü bir performansla izleyenleri etkiledi. Yarışı izleyenler de bu performanstan oldukça etkilendi.;8
501;3;1;0;1;0;top 5;[5, 2, 3, 6, 4, 5, 2, 7, 1, 3];tempolu ve dengeli yarişa başladi gücünü korudu; geçen hafta yarışta dikkat çeken bir performans sergiledi. Yarışa dengeli ve güçlü bir şekilde başladı. Yarış boyunca güçlü temposunu koruyarak dikkatleri üzerine çekti. Koşuyu da oldukça etkileyici bir şekilde tamamladı. Seyirciler tarafından hayli takdir edildi.;3
501;4;0;0;1;0;top 5;[6, 1, 4, 6, 4, 1, 3, 8, 4, 4];istenilen tempoya ulaşamadi ve izleyicilerin beklentilerini karşilayamadi; geçen hafta iyi bir performans sergileyemedi. Başından beri geride kaldı, hiç hızlanamadı. Yarış boyunca istenilen tempoya bir türlü ulaşamadı. Son düzlüğe gelindiğinde hızı oldukça düşmüştü ve yarışı da bu şekilde tamamladı. İzleyenlerin beklentilerini karşılayamadı.;4
501;5;1;1;0;1;bottom 5;[5, 9, 6, 8, 7, 8, 3, 10, 5, 9];hizini arttirarak rakiplerini geride birakti ve tribünden alkişlar yükseldi;geçen hafta yarışta müthiş bir performans sergiledi. Başlangıçta biraz gerideydi ama hızla öne fırladı. Son düzlüğe geldiğinde, rüzgar gibi hızlandı. Bileklerini esnekçe kullanarak ivme kazandı ve rakiplerini geride bıraktı. Sona doğru, herkesin gözü ondaydı. Tribünlerden alkışlar yükseldi.;8
501;6;0;0;0;1;bottom 5;[4, 9, 8, 8, 8, 8, 4, 10, 5, 6];bekleneni karşilayamadi ve seyircileri hayal kirikliğina uğratti; geçen hafta yarışta başarısız bir performans sergiledi. İlk andan itibaren bekleneni veremedi. Yarış boyunca temposunu arttıramadı. Son düzlüğe gelinirken kondisyonunun yetersiz olduğu anlaşılıyordu. Tribünler büyük bir hayal kırıklığına uğradı.;8
501;7;1;1;1;0;top 5;[7, 1, 3, 4, 2, 6, 3, 4, 7, 3];yelesi rüzgarla savruluyordu ve tribünler coştu;geçen hafta yarışta etkileyici bir performans sergiledi. Güven veren bir başlangıcın ardından güçlü bir şekilde öne atıldı. Son virajda adımlarını hızlandırırken yelesi rüzgârla beraber savruluyordu. Kuvvetli bacaklarıyla son düzlükte ileriye fırladı. Nal sesleriyle birlikte tribünler de coştu.;3
501;8;0;1;1;1;bottom 5;[6, 4, 2, 3, 1, 3, 8, 4, 4, 6];tribünden homurtular yükseldi ve yarişi tamamladi; geçen haftaki yarışta kötü bir performans sergiledi. Yarışın başında hemen geride kaldı. Her adımda, sanki çamura batıyormuş gibi ağırlaşıyordu. Son düzlüğe geldiğinde, bütün hızını kaybetmişti. Tribünlerden homurtularla birlikte yarışı tamamladı.;3
502;1;1;0;1;6;top 5;[5, 2, 3, 6, 4, 5, 2, 7, 1, 3];yarislarda gayet basarili olup seyircilerin dikkatini çekti kendi cinsindeki atlarda yarislarda cogunlukla ilk beste bitirdi; geçen hafta yarışta dikkat çeken bir performans sergiledi. Yarışa dengeli ve güçlü bir şekilde başladı. Yarış boyunca güçlü temposunu koruyarak dikkatleri üzerine çekti. Koşuyu da oldukça etkileyici bir şekilde tamamladı. Seyirciler tarafından hayli takdir edildi.;1
502;2;1;0;0;7;top 5;[5, 9, 7, 8, 4, 6, 6, 9, 5, 9];kendi yarisinda gayet basarili bir is cikarmis istikrari saglamis fakat kendi cinsindeki atlar ayni basariyi saglayamamis; geçen hafta yarışta harika bir performans sergiledi. Yarış boyunca kendini iyi gösterdi. Koşu boyunca piste çok iyi bir uyum sağladı. Güçlü bir performansla izleyenleri etkiledi. Yarışı izleyenler de bu performanstan oldukça etkilendi.;9
502;3;1;1;0;5;bottom 5;[5, 9, 6, 8, 7, 8, 3, 10, 5, 9];yarisa cok guzel bir sekilde basladi yelesi ruzgarla birlikte havalaniyordu hiziyla beraber tiribunleri costurdu;geçen hafta yarışta etkileyici bir performans sergiledi. Güven veren bir başlangıcın ardından güçlü bir şekilde öne atıldı. Son virajda adımlarını hızlandırırken yelesi rüzgârla beraber savruluyordu. Kuvvetli bacaklarıyla son düzlükte ileriye fırladı. Nal sesleriyle birlikte tribünler de coştu.;10
502;4;0;1;1;4;top 5;[7, 1, 3, 4, 2, 6, 3, 4, 7, 3];son yaptigi yarista kotu bir performans sergiledi ayagi camura batmis gibiydi yarisi bitirdiginde seyirciler tarafindan homurtuyla karsilandi; geçen haftaki yarışta kötü bir performans sergiledi. Yarışın başında hemen geride kaldı. Her adımda, sanki çamura batıyormuş gibi ağırlaşıyordu. Son düzlüğe geldiğinde, bütün hızını kaybetmişti. Tribünlerden homurtularla birlikte yarışı tamamladı.;3
502;5;1;1;1;4;top 5;[6, 1, 4, 6, 4, 1, 3, 8, 4, 4];yarisa geride baslamasina ragmen sonradan hizini arttirdi ivme kazanarak rakiplerini gecti yaris bittiginde tum gozler onun uzerindeydi;geçen hafta yarışta müthiş bir performans sergiledi. Başlangıçta biraz gerideydi ama hızla öne fırladı. Son düzlüğe geldiğinde, rüzgar gibi hızlandı. Bileklerini esnekçe kullanarak ivme kazandı ve rakiplerini geride bıraktı. Sona doğru, herkesin gözü ondaydı. Tribünlerden alkışlar yükseldi.;3
502;6;0;1;0;2;bottom 5;[6, 8, 7, 5, 8, 6, 10, 4, 9, 4];yarisa yavas basladi yaris bittiginde seyircilerin hayal kirikligi yuzlerinden okunuyordu; geçen hafta kötü bir performans sergiledi. Yarışın başında beklenenden yavaş hareket etti, hız kazanamadı. Pistte ilerlerken adımları dengesizleşti, ivme kaybetti. En sona doğru bacakları tükenmiş gibiydi. Seyircilerin hayal kırıklığı yüzlerinden okunuyordu.;8
502;7;0;0;1;3;top 5;[6, 4, 2, 3, 1, 3, 8, 4, 4, 6];yarista tempo saglayamadi ve kotu bir yaris sergileyip seyircileri hayal kirikligina ugratti; geçen hafta yarışta başarısız bir performans sergiledi. İlk andan itibaren bekleneni veremedi. Yarış boyunca temposunu arttıramadı. Son düzlüğe gelinirken kondisyonunun yetersiz olduğu anlaşılıyordu. Tribünler büyük bir hayal kırıklığına uğradı.;3
502;8;0;0;0;2;bottom 5;[4, 9, 8, 8, 8, 8, 4, 10, 5, 6];yarista ivme saglayamadi seyircilerin beklentisini karsilayamadi; geçen hafta iyi bir performans sergileyemedi. Başından beri geride kaldı, hiç hızlanamadı. Yarış boyunca istenilen tempoya bir türlü ulaşamadı. Son düzlüğe gelindiğinde hızı oldukça düşmüştü ve yarışı da bu şekilde tamamladı. İzleyenlerin beklentilerini karşılayamadı.;8
503;1;1;1;0;1;bottom 5;[5, 9, 6, 8, 7, 8, 3, 10, 5, 9];yariş başladiğinda en önde değildi ancak sonradan hizlandi ve bütün gözler onun üzerine çevrildi;geçen hafta yarışta müthiş bir performans sergiledi. Başlangıçta biraz gerideydi ama hızla öne fırladı. Son düzlüğe geldiğinde, rüzgar gibi hızlandı. Bileklerini esnekçe kullanarak ivme kazandı ve rakiplerini geride bıraktı. Sona doğru, herkesin gözü ondaydı. Tribünlerden alkışlar yükseldi.;8
503;2;0;1;1;1;top 5;[6, 4, 2, 3, 1, 3, 8, 4, 4, 6];çok yavaş başladi ve giderek çamura batar gibi ağirlaşti seyircilerin homurtusuna neden oldu; geçen haftaki yarışta kötü bir performans sergiledi. Yarışın başında hemen geride kaldı. Her adımda, sanki çamura batıyormuş gibi ağırlaşıyordu. Son düzlüğe geldiğinde, bütün hızını kaybetmişti. Tribünlerden homurtularla birlikte yarışı tamamladı.;3
503;3;0;0;0;4;bottom 5;[5, 9, 7, 8, 4, 6, 6, 9, 5, 9];istenilen tempoya ulaşamadi seyircileri mutlu edemedi; geçen hafta yarışta başarısız bir performans sergiledi. İlk andan itibaren bekleneni veremedi. Yarış boyunca temposunu arttıramadı. Son düzlüğe gelinirken kondisyonunun yetersiz olduğu anlaşılıyordu. Tribünler büyük bir hayal kırıklığına uğradı.;6
503;4;1;1;1;2;top 5;[6, 1, 4, 6, 4, 1, 3, 8, 4, 4];güçlü baldirlariyla öne atildi ve yelesini savurdu tribünleri coşturdu;geçen hafta yarışta etkileyici bir performans sergiledi. Güven veren bir başlangıcın ardından güçlü bir şekilde öne atıldı. Son virajda adımlarını hızlandırırken yelesi rüzgârla beraber savruluyordu. Kuvvetli bacaklarıyla son düzlükte ileriye fırladı. Nal sesleriyle birlikte tribünler de coştu.;4
503;5;1;0;0;2;bottom 5;[6, 8, 7, 5, 8, 6, 10, 4, 9, 4];temposunu korudu ve yarişa güçlü bir şekilde başladi; geçen hafta yarışta dikkat çeken bir performans sergiledi. Yarışa dengeli ve güçlü bir şekilde başladı. Yarış boyunca güçlü temposunu koruyarak dikkatleri üzerine çekti. Koşuyu da oldukça etkileyici bir şekilde tamamladı. Seyirciler tarafından hayli takdir edildi.;8
